Name,Type,Foundation,Price,Size,Length,Width,Bedrooms,Bathrooms,Lofts,Misc,Location,Link,City,State,Country,Days on site,Number of views,Times dreamlisted
Beautiful Cabin on Wheels Tiny House,Tiny House,Mobile,55000,340.0,30.0,8.5,1,1,1,Used,"Oakland, Oregon, United States",https://tinyhouselistings.com/listings/beautiful-cabin-on-wheels-tiny-house,Oakland,Oregon,United States,0,0,
2000 BlueBird Skoolie,Converted Bus,Mobile,35000,176.0,28.0,7.5,1,1,0,Used,"Talladega , Alabama, United States",https://tinyhouselistings.com/listings/2000-bluebird-skoolie,Talladega ,Alabama,United States,0,0,2.0
Mid-Century Modern Farmhouse- 28' Tiny Home,Tiny House,Mobile,69000,224.0,28.0,8.0,1,1,1,New,"Paso Robles, California, United States",https://tinyhouselistings.com/listings/midcentury-modern-farmhouse-28-tiny-home,Paso Robles,California,United States,1,0,16.0
Skoolie (Converted Bus) FOR SALE - 1987 Thomas Built Coach Transit Liner Bus,Converted Bus,Mobile,28000,240.0,40.0,8.5,1,1,0,Used,"Durham, North Carolina, United States",https://tinyhouselistings.com/listings/skoolie-converted-bus-for-sale-1987-thomas-built-coach-transit-liner-bus,Durham,North Carolina,United States,1,0,28.0
Affordable Parking - Liverpool RV Park,Parking,Mobile,400,0.0,60.0,12.0,0,0,0,Comes With Land,"Pearland, Texas, United States",https://tinyhouselistings.com/listings/liverpool-rv-park-your-new-home,Pearland,Texas,United States,1,0,2.0
Custom RVIA Tumbleweed Cypress 24',Tiny House,Mobile,60000,192.0,24.0,8.5,1,1,2,Used,"Birmingham, Alabama, United States",https://tinyhouselistings.com/listings/custom-rvia-tumbleweed-cypress-24-tiny_house,Birmingham,Alabama,United States,2,0,16.0
20' Tiny House Model With Sleeping Downstairs,Tiny House,Mobile,40000,160.0,20.0,8.0,1,1,0,Delivery Available,"Spring City, Tennessee, United States",https://tinyhouselistings.com/listings/20-tiny-house-model-with-sleeping-downstairs-tiny_house,Spring City,Tennessee,United States,3,0,11.0
Adorable 24' Boho Cottage Model,Tiny House,Mobile,50000,192.0,26.0,8.0,1,1,1,Delivery Available,"Spring City, Tennessee, United States",https://tinyhouselistings.com/listings/adorable-24-boho-cottage-model-tiny_house,Spring City,Tennessee,United States,3,0,14.0
Family Bus,Converted Bus,Mobile,13000,300.0,38.0,10.0,1,1,0,Used,"Mesa, Arizona, United States",https://tinyhouselistings.com/listings/family-bus,Mesa,Arizona,United States,3,0,9.0
Tiny house shell,Tiny House Shell,Mobile,19000,192.0,24.0,8.0,1,1,2,New,"Wimberley , Texas, United States",https://tinyhouselistings.com/listings/tiny-house-shell-4adeb61c-b325-4244-b1b0-880c119cc48d,Wimberley ,Texas,United States,3,0,8.0
Craftsman Style Tiny Home,Tiny House,Mobile,29500,150.0,18.0,8.5,0,0,1,New,"Grants Pass, Oregon, United States",https://tinyhouselistings.com/listings/craftsman-style-tiny-home-tiny_house,Grants Pass,Oregon,United States,3,0,24.0
Awesome 20' Tiny House,Tiny House,Mobile,28000,160.0,20.0,8.6,1,1,1,Delivery Available,"Royal Palm Beach, Florida, United States",https://tinyhouselistings.com/listings/awesome-20-tiny-home-ready-for-you-to-add-your-personal-touch-within-2-weeks,Royal Palm Beach,Florida,United States,3,0,8.0
