Name,Type,Foundation,Price,Size,Length,Width,Bedrooms,Bathrooms,Lofts,Misc,Location,Link,City,State,Country,Days on site,Number of views,Times dreamlisted
New converted skoolie,Converted Bus,Mobile,43000,154.0,22.0,7.0,1.0,1.0,1.0,New,"San Diego, California, United States",https://tinyhouselistings.com/listings/new-converted-skoolie-converted_bus,San Diego,California,United States,0.0,0.0,1.0
Bohemian Tiny Home for Sale Fully Furnished,Tiny House,Mobile,45000,208.0,20.0,8.0,0.0,1.0,1.0,Used,"Charlotte, North Carolina, United States",https://tinyhouselistings.com/listings/bohemian-tiny-home-for-sale-fully-furnished,Charlotte,North Carolina,United States,0.0,0.0,
Brand new beautiful tiny home,Tiny House,Mobile,49000,150.0,18.0,8.0,1.0,1.0,1.0,Delivery Available,"Romney, West Virginia, United States",https://tinyhouselistings.com/listings/brand-new-beautiful-tiny-home-tiny_house,Romney,West Virginia,United States,0.0,0.0,2.0
Affordable Off-Grid Tiny House,Tiny House,Mobile,40000,192.0,24.0,8.0,1.0,1.0,1.0,Delivery Available,"Colorado Springs, Colorado, United States",https://tinyhouselistings.com/listings/affordable-off-grid-tiny-house-tiny_house-mobile,Colorado Springs,Colorado,United States,0.0,0.0,
"The Crux- Brand New, 20' Tiny House",Tiny House,Mobile,66000,170.0,20.0,8.5,1.0,1.0,1.0,New,"Oregon City, Oregon, United States",https://tinyhouselistings.com/listings/the-crux-brand-new-20-tiny-house,Oregon City,Oregon,United States,1.0,0.0,7.0
New Tiny House For Sale,Tiny House,Mobile,55000,192.0,24.0,8.0,1.0,1.0,2.0,New,"Portland, Oregon, United States",https://tinyhouselistings.com/listings/new-tiny-house-for-sale-tiny_house-mobile,Portland,Oregon,United States,1.0,0.0,3.0
The Escape Artist,Tiny House,Mobile,24500,160.0,20.0,8.0,1.0,1.0,1.0,Square Feet,"Columbia, South Carolina, United States",https://tinyhouselistings.com/listings/the-escape-artist-tiny_house,Columbia,South Carolina,United States,2.0,0.0,10.0
20ft container time home. Ready for off grid living.,Container Home,Stationary,30000,160.0,20.0,8.0,0.0,1.0,0.0,Square Feet,"Oakland, California, United States",https://tinyhouselistings.com/listings/20ft-container-time-home-ready-for-off-grid-living,Oakland,California,United States,2.0,0.0,6.0
Rustic 27ft tiny home,Tiny House,Mobile,48000,191.0,27.0,8.5,0.0,1.0,2.0,Used,"Grants Pass, Oregon, United States",https://tinyhouselistings.com/listings/rustic-27ft-tiny-home,Grants Pass,Oregon,United States,3.0,0.0,26.0
Home Sweet Home!,Tiny House,Mobile,69000,319.0,32.0,8.5,1.0,2.0,2.0,Used,"Carrollton, Texas, United States",https://tinyhouselistings.com/listings/home-sweet-home-tiny_house,Carrollton,Texas,United States,3.0,0.0,35.0
Rustic Farmhouse 32’ Tiny Home,Tiny House,Mobile,32000,384.0,32.0,12.0,1.0,1.0,0.0,New,"Bastrop, Texas, United States",https://tinyhouselistings.com/listings/rustic-farmhouse-32-tiny-home,Bastrop,Texas,United States,4.0,0.0,37.0
Container cottage,Container Home,Mobile,17500,320.0,,,1.0,1.0,0.0,Delivery Available,"Pearland, Texas, United States",https://tinyhouselistings.com/listings/container-cottage-insulated-sheetrocked-inside-and-stucco-insulated-out-the-feeling-of-home,Pearland,Texas,United States,5.0,0.0,16.0
School bus Converted to RV,Converted Bus,Mobile,65000,320.0,40.0,8.0,1.0,1.0,1.0,Delivery Available,"Tampa, Florida, United States",https://tinyhouselistings.com/listings/school-bus-converted-to-rv,Tampa,Florida,United States,5.0,0.0,10.0
32' Industrial Farmhouse Tiny Home,Tiny House,Mobile,60000,300.0,32.0,10.0,1.0,1.0,0.0,New,"Weatherford, Texas, United States",https://tinyhouselistings.com/listings/32-industrial-farmhouse-tiny-home,Weatherford,Texas,United States,6.0,0.0,7.0
"Beautiful, Spacious and Luxurious-46' Tiny Home",Tiny House,Mobile,125000,560.0,40.0,14.0,1.0,1.0,0.0,Used,"Boaz, Alabama, United States",https://tinyhouselistings.com/listings/beautiful-spacious-and-luxurious-46-tiny-home,Boaz,Alabama,United States,0.0,0.0,1.0
Work of Art - 30' Tiny House,Tiny House,Mobile,65000,255.0,30.0,8.5,1.0,1.0,1.0,Used,"Oakland, Oregon, United States",https://tinyhouselistings.com/listings/work-of-art-30-tiny-house,Oakland,Oregon,United States,6.0,0.0,51.0
New Frontier Tiny Home - Alpha,Tiny House,Mobile,120000,275.0,28.0,8.5,1.0,0.0,0.0,Used,"Bozeman , Montana, United States",https://tinyhouselistings.com/listings/new-frontier-tiny-home-alpha,Bozeman ,Montana,United States,6.0,0.0,10.0
Retro Blue Bus,Converted Bus,Mobile,36900,192.0,24.0,8.0,1.0,1.0,0.0,Square Feet,"Maryville, Tennessee, United States",https://tinyhouselistings.com/listings/retro-blue-bus,Maryville,Tennessee,United States,6.0,0.0,42.0
20' Off grid ready Tiny Home Built with High Quality Materials,Tiny House,Mobile,45000,160.0,20.0,8.0,1.0,1.0,2.0,Delivery Available,"Omaha, Nebraska, United States",https://tinyhouselistings.com/listings/20-off-grid-ready-tiny-home-built-with-high-quality-materials-tiny_house,Omaha,Nebraska,United States,7.0,0.0,37.0
